"","id","time","production"
"624","BRN",1983,0
"625","BRN",1984,0
"626","BRN",1985,0
"627","BRN",1986,0
"628","BRN",1987,0
"629","BRN",1988,0
"630","BRN",1989,0
"631","BRN",1990,0
"632","BRN",1991,0
"633","BRN",1992,0
"634","BRN",1993,0
"635","BRN",1994,0
"636","BRN",1995,0
"637","BRN",1996,0
"638","BRN",1997,0
"639","BRN",1998,0
"640","BRN",1999,0
"641","BRN",2000,0
"642","BRN",2001,0
"643","BRN",2002,0
"644","BRN",2003,0
"645","BRN",2004,0
"646","BRN",2005,0
"647","BRN",2006,0
"648","BRN",2007,0
"649","BRN",2008,0
"650","BRN",2009,0
"651","BRN",2010,0
"652","BTN",1980,20.9979018211365
"653","BTN",1981,20.0552580833435
"654","BTN",1982,19.230951499939
"655","BTN",1983,17.9320846557617
"656","BTN",1984,20.1602212667465
"657","BTN",1985,11.8896107435226
"658","BTN",1986,16.4042429447174
"659","BTN",1987,18.8824278354645
"660","BTN",1988,12.4427947163582
"661","BTN",1989,15.9779024124146
"662","BTN",1990,15.9175203561783
"663","BTN",1991,21.0773323774338
"664","BTN",1992,16.0759794235229
"665","BTN",1993,15.1163157701492
"666","BTN",1994,17.2479982376099
"667","BTN",1995,18.1213433265686
"668","BTN",1996,19.1470617294312
"669","BTN",1997,16.8236899614334
"670","BTN",1998,13.5597002863884
"671","BTN",1999,16.7000858306885
"672","BTN",2000,20.7981055259705
"673","BTN",2001,18.5711842298508
"674","BTN",2002,18.9606412410736
"675","BTN",2003,10.6754423499107
"676","BTN",2004,23.8116421222687
"677","BTN",2005,19.9997354507446
"678","BTN",2006,19.4412854194641
"679","BTN",2007,17.0996729135513
"680","BTN",2008,16.5266317605972
"681","BTN",2009,21.1474424600601
"682","BTN",2010,15.7691950321198
"683","BWA",1980,0
"684","BWA",1981,0
"685","BWA",1982,0
"686","BWA",1983,0
"687","BWA",1984,0
"688","BWA",1985,0
"689","BWA",1986,0
"690","BWA",1987,0
"691","BWA",1988,0
"692","BWA",1989,0
"693","BWA",1990,0
"694","BWA",1991,0
"695","BWA",1992,0
"696","BWA",1993,0
"697","BWA",1994,0
"698","BWA",1995,0
"699","BWA",1996,0
"700","BWA",1997,0
"701","BWA",1998,0
"702","BWA",1999,0
"703","BWA",2000,0
"704","BWA",2001,0
"705","BWA",2002,0
"706","BWA",2003,0
"707","BWA",2004,0
"708","BWA",2005,0
"709","BWA",2006,0
"710","BWA",2007,0
"711","BWA",2008,0
"712","BWA",2009,0
"713","BWA",2010,0
"714","CAF",1980,0
"715","CAF",1981,0
"716","CAF",1982,0
"717","CAF",1983,0
"718","CAF",1984,0
"719","CAF",1985,0
"720","CAF",1986,0
"721","CAF",1987,0
"722","CAF",1988,0
"723","CAF",1989,0
"724","CAF",1990,0
"725","CAF",1991,0
"726","CAF",1992,0
"727","CAF",1993,0
"728","CAF",1994,0
"729","CAF",1995,0
"730","CAF",1996,0
"731","CAF",1997,0
"732","CAF",1998,0
"733","CAF",1999,0
"734","CAF",2000,0
"735","CAF",2001,0
"736","CAF",2002,0
"737","CAF",2003,0
